	Type2	Type3	Type4	Type5	Type6	Type7	Type8	Type9	Type10	Type11	Type12
Type1	0,14	0,17	0,15	0,12	0,07	0,23	0,15	0,13	0,21	0,05	0,06
Type2	0,00	0,28	0,35	0,25	0,05	0,49	0,30	0,31	0,29	0,12	0,15
Type3		0,00	0,30	0,31	0,15	0,41	0,31	0,28	0,39	0,06	0,15
Type4			0,00	0,29	0,09	0,46	0,38	0,33	0,35	0,11	0,15
Type5				0,00	0,08	0,48	0,40	0,32	0,40	0,12	0,20
Type6					0,00	0,39	0,30	0,18	0,27	0,06	0,09
Type7						0,00	0,28	0,25	0,32	0,09	0,14
Type8							0,00	0,47	0,34	0,09	0,16
Type9								0,00	0,28	0,08	0,17
Type10									0,00	0,09	0,10
Type11										0,00	0,18
Type12											0,00
